id,name,level,hot,area,num,price,info,address,image_url
1,八达岭长城,5A景区,0.82,[北京·北京·延庆县],7325,125.0,不到长城非好汉,地址：北京市延庆县军都山关沟古道北口216省道附近,http://img1.qunarzz.com/sight/p0/1708/2b/2b3b94de99c0a425a3.img.jpg_280x200_05658b1e.jpg
2,故宫,5A景区,1.0,[北京·北京·东城区],23507,60.0,一起来逛逛春天的故宫吧,地址：北京市东城区景山前街4号,http://img1.qunarzz.com/sight/p0/1409/19/adca619faaab0898245dc4ec482b5722.jpg_280x200_444f23e4.jpg
3,颐和园,5A景区,0.82,[北京·北京·海淀区],6571,30.0,保存完整的一座皇家行宫御苑,地址：北京市海淀区新建宫门路19号,http://img1.qunarzz.com/sight/p0/1505/d2/d274c92de14c93da.water.jpg_280x200_3bd890df.jpg
4,恭王府,5A景区,0.74,[北京·北京·西城区],3913,62.0,一起去看看和珅家,地址：北京市西城区什刹海前海西街17号,http://img1.qunarzz.com/sight/p0/201405/12/51b63883c25f5d87af3c08bb016e2bd7.jpg_280x200_48280119.jpg
5,水立方,,0.0,[北京·北京·奥林匹克公园],4210,49.0,中国的荣耀，阳光下的晶莹水滴,地址：北京市朝阳区天辰东路11号奥林匹克公园内,http://img1.qunarzz.com/sight/p0/1501/40/40b2b6c951b28fdd.water.jpg_280x200_104f11c4.jpg
6,中国国家博物馆,,0.7,[北京·北京·东城区],320,68.0,历史与艺术并重，凝聚中国历史文化之精华,地址：北京东城区东长安街16号天安门广场东侧,http://img1.qunarzz.com/sight/p0/1501/7f/7f9cd32f970ec20.water.jpg_280x200_3c62dbc9.jpg
7,鸟巢,5A景区,0.8400000000000001,[北京·北京·奥林匹克公园],2603,49.0,北京的地标，中华民族崛起的象征,地址：北京市朝阳区国家体育场南路1号奥林匹克公园内,http://img1.qunarzz.com/sight/p0/1508/fe/434ee530e21f1c11bad088e8cc8d5e93.water.jpg_280x200_0868f974.jpg
8,天坛公园,5A景区,0.8,[北京·北京·东城区],1778,115.0,探寻古代皇帝祭天仪式的奥秘,地址：北京市东城区天坛内东里7号,http://img1.qunarzz.com/sight/p0/1602/92/920e47352552c1c990.water.jpg_280x200_cf5666bb.jpg
9,八达岭长城缆车,,0.0,[北京·北京·八达岭长城],2232,140.0,巍峨雄伟尽收眼底,地址：北京市延庆县军都山关沟古道北口八达岭长城景区内,http://img1.qunarzz.com/sight/p0/201306/13/bdf22f69fab0ee4ec8d65eac.jpg_280x200_c2f4c17c.jpg
10,圆明园,4A景区,0.76,[北京·北京·海淀区],9352,25.0,追忆昔日万园之园,地址：北京市海淀区清华西路28号,http://img1.qunarzz.com/sight/p0/1505/f5/f5f45e1a83537bcb.water.jpg_280x200_b5ebb032.jpg
11,雍和宫,,0.76,[北京·北京·东城区],2658,50.0,佛光普照，巍峨壮观雍和宫,地址：北京市雍和宫大街12号,http://img1.qunarzz.com/sight/p0/1501/e5/e5621c1bb593240c.water.jpg_280x200_597628ae.jpg
12,天安门广场,,1.0,[北京·北京·东城区],1106,60.0,我爱北京天安门，天安门上太阳升,地址：北京市东城区天安门,http://img1.qunarzz.com/sight/p0/1501/f4/f467729126949c3a.water.jpg_280x200_ced5ba0c.jpg
13,慕田峪长城,5A景区,0.7,[北京·北京·怀柔区],2874,40.0,电影《非诚勿扰》取景地,地址：北京市怀柔区慕田峪村,http://img1.qunarzz.com/sight/p0/1708/2b/2b6378fd3b2e1d86a3.img.jpg_280x200_3833f864.jpg
14,德云社相声大会广德楼店,,0.0,[北京·北京·西城区],452,115.0,赏德云社爆笑演出，High翻全场乐不停,地址：北京市西城区前门大栅栏大街39号,http://img1.qunarzz.com/sight/p0/1601/f5/f5069b6e5f9488b590.water.jpg_280x200_df73cffb.jpg
15,明十三陵,5A景区,0.72,[北京·北京·昌平区],874,105.0,气势磅礴的陵寝建筑群,地址：北京市昌平区十三陵特区,http://img1.qunarzz.com/sight/p0/201403/07/d43a150292bca04bf13c59d24e096530.jpg_280x200_e7c48ae9.jpg
16,上海人民公园,,0.7,[上海·上海·黄浦区],42,155.0,上海人民公园闹中取静，别有一番风光,地址：中国上海黄浦区南京西路南、西藏中路,http://img1.qunarzz.com/sight/p93/201211/05/ef46d29ea430b1c393835fbb.jpg_280x200_a0a51724.jpg
17,上海大观园,4A景区,0.7,[上海·上海·青浦区],288,48.1,红楼遗梦，亭台楼阁，尽显恢弘宏伟,地址：上海市青浦区金商公路701号上海大观园,http://img1.qunarzz.com/sight/p0/1802/2b/2bc2c6f08000381fa3.water.jpg_280x200_21f7d9ad.jpg
18,南翔古镇,4A景区,0.0,[上海·上海·嘉定区],30,13.0,千年古镇哪家强？上海嘉定有南翔,地址：上海市嘉定区南翔镇,http://img1.qunarzz.com/sight/p0/1603/7c/7cb75b988232046f90.water.jpg_280x200_afdb6d7a.jpg
19,上海动物园,4A景区,0.72,[上海·上海·长宁区],4452,37.0,带你领略动物世界的纷繁多彩,地址：上海市长宁区虹桥路2381号,http://img1.qunarzz.com/sight/p0/1603/9b/9bf694a468dd774490.water.jpg_280x200_2dc8bf62.jpg
20,上海城隍庙,,0.76,[上海·上海·黄浦区],284,0.2,“中华一绝”的民俗艺术,地址：上海市黄浦区方浜中路249号,http://img1.qunarzz.com/sight/p0/1802/14/1457de0e6754714da3.water.jpg_280x200_7c7e70ff.jpg
21,东方明珠,5A景区,0.76,[上海·上海·浦东新区],5552,85.0,感受云端漫步，品味老上海风情,地址：上海市浦东新区世纪大道1号,http://img1.qunarzz.com/tuan/team2/1507/2c/83e0e0e7ae082a.jpg_280x200_8c8e548a.jpg
22,毛家峪印象滑雪场,,0.0,[天津·天津·蓟县],0,0.0,畅快尽享冬日阳光与滑雪之乐,地址：天津市蓟县穿芳峪镇毛家峪长寿村村南西沟,http://img1.qunarzz.com/sight/p0/1601/e1/e11f2efcfa937d8a90.water.jpg_280x200_66d29f5a.jpg
23,盘山高尔夫俱乐部,,0.0,[天津·天津·蓟县],0,0.0,天津市目前仅有的一家依山傍水的公园式球场,地址：天津蓟县燕山西大街706号,http://img1.qunarzz.com/sight/p0/1409/05/5971ec86e3b5b23523be0366ce358de2.jpg_280x200_06a9df65.jpg
24,天津沐清汇温泉洗浴,,0.0,[天津·天津·武清区],10,69.0,卓越管理、优质服务、实惠价格等您来体验,地址：天津市武清区杨村街京津公路慧翔大厦C座1F—3F（天津市武清区杨村街京津公路东侧全聚德旁）,http://img1.qunarzz.com/sight/p0/1803/e1/e1a8982cae819a6ea3.img.jpg_280x200_1164e7c5.jpg
25,帝景温泉,,0.0,[天津·天津·宝坻区],12,78.0,丰富的矿物质含量，国内罕见的保健泉,地址：天津市宝坻区京津新城,http://img1.qunarzz.com/sight/p0/201212/22/b05222814767a20693835fbb.png_280x200_70915149.png
26,海河文化广场,,0.7,[天津·天津·河北区],44,68.0,海河为天津市风景轴线，流经全市，全长74公里，从市中心蜿蜒流过，是引人注目的风景游览线。河段上桥梁风格各异，河面游船往返,地址：天津市河北区民生路,http://img1.qunarzz.com/sight/p25/201211/00/367deee346ca54a093835fbb.jpg_280x200_f93dc4e9.jpg
